experiment,model,template,domain,Error: Bad operator in plan.,Error: Bad plan description.,Error: Error in type-checking.,Error: Goal not satisfied.,Error: Plan failed to execute.,Error: Sample with processi...,Error: Unknown validation r...,Valid Plan,Total
many-models,gemini-2.0-flash-lite,landmark,blocksworld,0,0,0,2,11,7,0,0,20
many-models,gemini-2.0-flash-lite,landmark,logistics,0,0,0,0,7,13,0,0,20
many-models,gemini-2.0-flash-lite,landmark,miconic,0,0,0,1,11,8,0,0,20
many-models,gemini-2.0-flash-lite,landmark,spanner,0,0,0,1,11,8,0,0,20
many-models,gemini-2.0-flash-lite,pddl,blocksworld,0,0,0,1,10,9,0,0,20
many-models,gemini-2.0-flash-lite,pddl,logistics,0,0,0,0,7,13,0,0,20
many-models,gemini-2.0-flash-lite,pddl,miconic,0,4,0,2,4,10,0,0,20
many-models,gemini-2.0-flash-lite,pddl,spanner,0,12,0,0,2,6,0,0,20
many-models,gemini-2.5-flash-lite,landmark,blocksworld,0,0,0,0,19,1,0,0,20
many-models,gemini-2.5-flash-lite,landmark,logistics,1,0,0,0,16,1,2,0,20
many-models,gemini-2.5-flash-lite,landmark,miconic,0,7,0,0,10,3,0,0,20
many-models,gemini-2.5-flash-lite,landmark,spanner,0,1,2,0,15,2,0,0,20
many-models,gemini-2.5-flash-lite,pddl,blocksworld,0,0,0,0,13,4,1,2,20
many-models,gemini-2.5-flash-lite,pddl,logistics,0,0,0,0,18,0,2,0,20
many-models,gemini-2.5-flash-lite,pddl,miconic,0,6,0,0,13,1,0,0,20
many-models,gemini-2.5-flash-lite,pddl,spanner,0,0,0,0,16,3,0,1,20
many-models,gemini-2.5-flash-lite-thinking,landmark,blocksworld,0,1,0,0,21,2,0,8,32
many-models,gemini-2.5-flash-lite-thinking,landmark,logistics,0,0,0,1,21,2,1,7,32
many-models,gemini-2.5-flash-lite-thinking,landmark,miconic,0,0,0,2,7,2,0,9,20
many-models,gemini-2.5-flash-lite-thinking,landmark,spanner,0,1,2,0,14,0,0,3,20
many-models,gemini-2.5-flash-lite-thinking,pddl,blocksworld,0,1,0,1,16,2,0,12,32
many-models,gemini-2.5-flash-lite-thinking,pddl,logistics,0,0,0,0,25,2,0,5,32
many-models,gemini-2.5-flash-lite-thinking,pddl,miconic,0,2,0,0,9,0,0,9,20
many-models,gemini-2.5-flash-lite-thinking,pddl,spanner,0,4,0,0,16,0,0,0,20
many-models,gemini-thinking,landmark,blocksworld,0,0,0,0,2,0,0,30,32
many-models,gemini-thinking,landmark,logistics,0,0,0,2,14,0,0,44,60
many-models,gemini-thinking,landmark,miconic,0,0,0,0,0,0,0,32,32
many-models,gemini-thinking,landmark,minigrid,0,0,0,0,1,0,0,19,20
many-models,gemini-thinking,landmark,spanner,0,0,0,0,6,0,0,14,20
many-models,gemini-thinking,pddl,blocksworld,0,0,0,3,3,0,0,26,32
many-models,gemini-thinking,pddl,logistics,0,0,0,3,15,0,0,42,60
many-models,gemini-thinking,pddl,miconic,0,4,0,0,2,0,0,26,32
many-models,gemini-thinking,pddl,minigrid,0,0,0,0,2,0,0,18,20
many-models,gemini-thinking,pddl,spanner,0,2,0,0,9,0,0,9,20
many-models,gemini-thinking,sanity_check,blocksworld,0,0,0,2,3,0,0,27,32
many-models,gemini-thinking,sanity_check,logistics,0,0,0,2,12,0,0,46,60
many-models,gemini-thinking,sanity_check,miconic,0,0,0,1,2,0,0,29,32
many-models,gemini-thinking,sanity_check,minigrid,0,0,0,0,6,0,0,14,20
many-models,gemini-thinking,sanity_check,spanner,0,0,0,0,0,0,0,20,20
Total,,,,1,45,4,24,389,99,6,452,1020
