domain,model,template,num_landmarks,used_landmarks,used_ratio,instance
blocksworld,gemini-2.0-flash-lite,landmark,15.15,7.95,0.48,20
blocksworld,gemini-2.0-flash-lite,pddl,15.15,4.10,0.26,20
blocksworld,gemini-2.5-flash-lite,landmark,15.15,12.20,0.85,20
blocksworld,gemini-2.5-flash-lite,pddl,15.15,6.50,0.56,20
blocksworld,gemini-2.5-flash-lite-thinking,landmark,23.25,21.25,0.93,32
blocksworld,gemini-2.5-flash-lite-thinking,pddl,23.25,17.25,0.79,32
blocksworld,gemini-thinking,landmark,23.25,23.25,1.00,32
blocksworld,gemini-thinking,pddl,23.25,22.16,0.97,32
blocksworld,gemini-thinking,sanity_check,23.25,23.00,0.99,32
logistics,gemini-2.0-flash-lite,landmark,22.90,6.35,0.25,20
logistics,gemini-2.0-flash-lite,pddl,22.90,1.05,0.06,20
logistics,gemini-2.5-flash-lite,landmark,22.90,7.95,0.32,20
logistics,gemini-2.5-flash-lite,pddl,22.90,0.00,0.00,20
logistics,gemini-2.5-flash-lite-thinking,landmark,34.00,19.25,0.57,32
logistics,gemini-2.5-flash-lite-thinking,pddl,34.00,0.00,0.00,32
logistics,gemini-thinking,landmark,60.90,59.08,0.98,60
logistics,gemini-thinking,pddl,60.90,46.35,0.79,60
logistics,gemini-thinking,sanity_check,60.90,57.70,0.97,60
miconic,gemini-2.0-flash-lite,landmark,24.00,11.15,0.49,20
miconic,gemini-2.0-flash-lite,pddl,24.00,5.25,0.23,20
miconic,gemini-2.5-flash-lite,landmark,24.00,15.05,0.64,20
miconic,gemini-2.5-flash-lite,pddl,24.00,8.30,0.37,20
miconic,gemini-2.5-flash-lite-thinking,landmark,24.00,21.25,0.89,20
miconic,gemini-2.5-flash-lite-thinking,pddl,24.00,19.80,0.85,20
miconic,gemini-thinking,landmark,36.00,36.00,1.00,32
miconic,gemini-thinking,pddl,36.00,32.47,0.87,32
miconic,gemini-thinking,sanity_check,36.00,35.59,0.99,32
minigrid,gemini-thinking,landmark,7.65,7.65,1.00,20
minigrid,gemini-thinking,pddl,7.65,7.50,0.98,20
minigrid,gemini-thinking,sanity_check,7.65,6.05,0.81,20
spanner,gemini-2.0-flash-lite,landmark,14.00,7.25,0.55,20
spanner,gemini-2.0-flash-lite,pddl,14.00,2.05,0.15,20
spanner,gemini-2.5-flash-lite,landmark,14.00,11.35,0.87,20
spanner,gemini-2.5-flash-lite,pddl,14.00,7.70,0.65,20
spanner,gemini-2.5-flash-lite-thinking,landmark,14.00,14.00,1.00,20
spanner,gemini-2.5-flash-lite-thinking,pddl,14.00,10.30,0.80,20
spanner,gemini-thinking,landmark,14.00,14.00,1.00,20
spanner,gemini-thinking,pddl,14.00,12.20,0.90,20
spanner,gemini-thinking,sanity_check,14.00,14.00,1.00,20
