experiment,domain,instance_subdir,model,template,max_samples,correct_instances,total_instances,candidates_token_count,num_action_landmarks,accuracy,pass@1
many-models,blocksworld,10-blocks,gemini-2.0-flash-lite,landmark,1,0,4,111.66666666666667,14.75,0.0,0.0
many-models,blocksworld,10-blocks,gemini-2.0-flash-lite,pddl,1,0,4,96.0,,0.0,0.0
many-models,blocksworld,10-blocks,gemini-2.5-flash-lite,landmark,1,0,4,186.5,14.75,0.0,0.0
many-models,blocksworld,10-blocks,gemini-2.5-flash-lite,pddl,1,0,4,183.0,,0.0,0.0
many-models,blocksworld,10-blocks,gemini-2.5-flash-lite-thinking,landmark,1,1,4,227.5,14.75,0.25,0.25
many-models,blocksworld,10-blocks,gemini-2.5-flash-lite-thinking,pddl,1,1,4,202.33333333333334,,0.25,0.25
many-models,blocksworld,10-blocks,gemini-thinking,landmark,1,4,4,200.75,14.75,1.0,1.0
many-models,blocksworld,10-blocks,gemini-thinking,pddl,1,3,4,199.0,,0.75,0.75
many-models,blocksworld,13-blocks,gemini-2.0-flash-lite,landmark,1,0,4,172.66666666666666,19.25,0.0,0.0
many-models,blocksworld,13-blocks,gemini-2.0-flash-lite,pddl,1,0,4,151.66666666666666,,0.0,0.0
many-models,blocksworld,13-blocks,gemini-2.5-flash-lite,landmark,1,0,4,205.5,19.25,0.0,0.0
many-models,blocksworld,13-blocks,gemini-2.5-flash-lite,pddl,1,0,4,254.0,,0.0,0.0
many-models,blocksworld,13-blocks,gemini-2.5-flash-lite-thinking,landmark,1,2,4,280.25,19.25,0.5,0.5
many-models,blocksworld,13-blocks,gemini-2.5-flash-lite-thinking,pddl,1,3,4,308.75,,0.75,0.75
many-models,blocksworld,13-blocks,gemini-thinking,landmark,1,4,4,283.25,19.25,1.0,1.0
many-models,blocksworld,13-blocks,gemini-thinking,pddl,1,3,4,267.5,,0.75,0.75
many-models,blocksworld,16-blocks,gemini-2.0-flash-lite,landmark,1,0,4,197.5,26.25,0.0,0.0
many-models,blocksworld,16-blocks,gemini-2.0-flash-lite,pddl,1,0,4,1108.0,,0.0,0.0
many-models,blocksworld,16-blocks,gemini-2.5-flash-lite,landmark,1,0,4,368.3333333333333,26.25,0.0,0.0
many-models,blocksworld,16-blocks,gemini-2.5-flash-lite,pddl,1,0,4,234.0,,0.0,0.0
many-models,blocksworld,16-blocks,gemini-2.5-flash-lite-thinking,landmark,1,0,4,387.0,26.25,0.0,0.0
many-models,blocksworld,16-blocks,gemini-2.5-flash-lite-thinking,pddl,1,1,4,392.5,,0.25,0.25
many-models,blocksworld,16-blocks,gemini-thinking,landmark,1,3,4,376.5,26.25,0.75,0.75
many-models,blocksworld,16-blocks,gemini-thinking,pddl,1,4,4,394.25,,1.0,1.0
many-models,blocksworld,19-blocks,gemini-2.5-flash-lite-thinking,landmark,1,0,4,497.75,31.25,0.0,0.0
many-models,blocksworld,19-blocks,gemini-2.5-flash-lite-thinking,pddl,1,0,4,1859.25,,0.0,0.0
many-models,blocksworld,19-blocks,gemini-thinking,landmark,1,3,4,500.5,31.25,0.75,0.75
many-models,blocksworld,19-blocks,gemini-thinking,pddl,1,3,4,488.25,,0.75,0.75
many-models,blocksworld,22-blocks,gemini-2.5-flash-lite-thinking,landmark,1,0,4,539.0,35.25,0.0,0.0
many-models,blocksworld,22-blocks,gemini-2.5-flash-lite-thinking,pddl,1,0,4,562.5,,0.0,0.0
many-models,blocksworld,22-blocks,gemini-thinking,landmark,1,4,4,578.25,35.25,1.0,1.0
many-models,blocksworld,22-blocks,gemini-thinking,pddl,1,3,4,582.6666666666666,,0.75,0.75
many-models,blocksworld,25-blocks,gemini-2.5-flash-lite-thinking,landmark,1,0,4,618.6666666666666,43.75,0.0,0.0
many-models,blocksworld,25-blocks,gemini-2.5-flash-lite-thinking,pddl,1,0,4,446.5,,0.0,0.0
many-models,blocksworld,25-blocks,gemini-thinking,landmark,1,4,4,671.0,43.75,1.0,1.0
many-models,blocksworld,25-blocks,gemini-thinking,pddl,1,1,4,568.25,,0.25,0.25
many-models,blocksworld,4-blocks,gemini-2.0-flash-lite,landmark,1,0,4,417.0,5.25,0.0,0.0
many-models,blocksworld,4-blocks,gemini-2.0-flash-lite,pddl,1,0,4,58.0,,0.0,0.0
many-models,blocksworld,4-blocks,gemini-2.5-flash-lite,landmark,1,0,4,69.75,5.25,0.0,0.0
many-models,blocksworld,4-blocks,gemini-2.5-flash-lite,pddl,1,1,4,76.75,,0.25,0.25
many-models,blocksworld,4-blocks,gemini-2.5-flash-lite-thinking,landmark,1,3,4,78.5,5.25,0.75,0.75
many-models,blocksworld,4-blocks,gemini-2.5-flash-lite-thinking,pddl,1,4,4,72.0,,1.0,1.0
many-models,blocksworld,4-blocks,gemini-thinking,landmark,1,4,4,72.0,5.25,1.0,1.0
many-models,blocksworld,4-blocks,gemini-thinking,pddl,1,4,4,72.0,,1.0,1.0
many-models,blocksworld,7-blocks,gemini-2.0-flash-lite,landmark,1,0,4,195.66666666666666,10.25,0.0,0.0
many-models,blocksworld,7-blocks,gemini-2.0-flash-lite,pddl,1,0,4,93.0,,0.0,0.0
many-models,blocksworld,7-blocks,gemini-2.5-flash-lite,landmark,1,0,4,134.25,10.25,0.0,0.0
many-models,blocksworld,7-blocks,gemini-2.5-flash-lite,pddl,1,1,4,164.5,,0.25,0.25
many-models,blocksworld,7-blocks,gemini-2.5-flash-lite-thinking,landmark,1,2,4,147.0,10.25,0.5,0.5
