experiment,config_name,template,domain,instance_type,max_samples,correct_instances,total_instances,accuracy,pass@1
many-models,gemini,landmark,blocksworld,outdistribution,1,0,20,0.0,0.0
many-models,gemini,landmark,grippers,outdistribution,1,0,20,0.0,0.0
many-models,gemini,pddl,blocksworld,outdistribution,1,0,20,0.0,0.0
many-models,gemini,pddl,grippers,outdistribution,1,0,20,0.0,0.0
many-models,gemini-thinking,landmark,blocksworld,outdistribution,1,19,20,0.95,0.95
many-models,gemini-thinking,landmark,grippers,outdistribution,1,19,20,0.95,0.95
many-models,gemini-thinking,pddl,blocksworld,outdistribution,1,18,20,0.9,0.8999999999999999
many-models,gemini-thinking,pddl,grippers,outdistribution,1,18,20,0.9,0.8999999999999999
many-models,gemma,landmark,blocksworld,outdistribution,1,0,20,0.0,0.0
many-models,gemma,landmark,grippers,outdistribution,1,0,20,0.0,0.0
many-models,gemma,pddl,blocksworld,outdistribution,1,0,20,0.0,0.0
many-models,gemma,pddl,grippers,outdistribution,1,0,20,0.0,0.0
