experiment,model,template,domain,Error: Bad plan description.,Error: Goal not satisfied.,Error: Plan failed to execute.,Valid Plan,Total
only-gemini-thinking,gemini-thinking,landmark,blocksworld,0,0,2,30,32
only-gemini-thinking,gemini-thinking,landmark,logistics,0,2,14,44,60
only-gemini-thinking,gemini-thinking,landmark,miconic,0,0,0,32,32
only-gemini-thinking,gemini-thinking,landmark,minigrid,0,0,1,19,20
only-gemini-thinking,gemini-thinking,landmark,spanner,0,0,6,14,20
only-gemini-thinking,gemini-thinking,pddl,blocksworld,0,3,3,26,32
only-gemini-thinking,gemini-thinking,pddl,logistics,0,3,15,42,60
only-gemini-thinking,gemini-thinking,pddl,miconic,4,0,2,26,32
only-gemini-thinking,gemini-thinking,pddl,minigrid,0,0,2,18,20
only-gemini-thinking,gemini-thinking,pddl,spanner,2,0,9,9,20
only-gemini-thinking,gemini-thinking,sanity_check,blocksworld,0,2,3,27,32
only-gemini-thinking,gemini-thinking,sanity_check,logistics,0,2,12,46,60
only-gemini-thinking,gemini-thinking,sanity_check,miconic,0,1,2,29,32
only-gemini-thinking,gemini-thinking,sanity_check,minigrid,0,0,6,14,20
only-gemini-thinking,gemini-thinking,sanity_check,spanner,0,0,0,20,20
Total,,,,6,13,77,396,492
