experiment,domain,model,template,instance,num_landmarks,used_landmarks,used_ratio
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/10-blocks/p11.log,15,15,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/10-blocks/p09.log,14,14,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/10-blocks/p10.log,16,16,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/10-blocks/p12.log,14,14,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/22-blocks/p28.log,34,34,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/22-blocks/p27.log,36,36,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/22-blocks/p25.log,35,35,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/22-blocks/p26.log,36,36,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/25-blocks/p32.log,45,45,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/25-blocks/p29.log,46,46,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/25-blocks/p30.log,40,40,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/25-blocks/p31.log,44,44,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/19-blocks/p22.log,33,33,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/19-blocks/p24.log,32,32,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/19-blocks/p23.log,32,32,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/19-blocks/p21.log,28,28,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/7-blocks/p05.log,8,8,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/7-blocks/p06.log,13,13,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/7-blocks/p08.log,10,10,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/7-blocks/p07.log,10,10,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/4-blocks/p04.log,7,7,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/4-blocks/p03.log,3,3,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/4-blocks/p01.log,6,6,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/4-blocks/p02.log,5,5,1.00
only-gemini-thinking,blocksworld,gemini-thinking,landmark,data/experiments/only-gemini-thinking/gemini-thinking/landmark/blocksworld/13-blocks/p13.log,19,19,1.00
