experiment,domain,instance_subdir,model,template,max_samples,correct_instances,total_instances,candidates_token_count,num_action_landmarks,accuracy,pass@1
pddl-vs-new-landmarks-on-new-instances,blocksworld,22-blocks,gemini-thinking,new_landmark,1,2,4,578.25,35.25,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,blocksworld,22-blocks,gemini-thinking,pddl,1,4,4,561.0,,1.0,1.0
pddl-vs-new-landmarks-on-new-instances,blocksworld,25-blocks,gemini-thinking,new_landmark,1,2,4,667.0,43.75,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,blocksworld,25-blocks,gemini-thinking,pddl,1,2,4,679.0,,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,blocksworld,28-blocks,gemini-thinking,new_landmark,1,1,4,773.25,47.75,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,blocksworld,28-blocks,gemini-thinking,pddl,1,2,4,769.25,,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,blocksworld,31-blocks,gemini-thinking,new_landmark,1,2,4,892.5,54.25,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,blocksworld,31-blocks,gemini-thinking,pddl,1,3,4,905.0,,0.75,0.75
pddl-vs-new-landmarks-on-new-instances,blocksworld,34-blocks,gemini-thinking,new_landmark,1,1,4,965.75,61.25,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,blocksworld,34-blocks,gemini-thinking,pddl,1,0,4,929.75,,0.0,0.0
pddl-vs-new-landmarks-on-new-instances,logistics,23-packages,gemini-thinking,landmark,1,2,4,1523.25,83.0,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,logistics,23-packages,gemini-thinking,new_landmark,1,3,4,1732.5,83.0,0.75,0.75
pddl-vs-new-landmarks-on-new-instances,logistics,23-packages,gemini-thinking,pddl,1,3,4,1586.0,,0.75,0.75
pddl-vs-new-landmarks-on-new-instances,logistics,23-packages,gemini-thinking,random_landmark,1,4,4,1556.5,83.0,1.0,1.0
pddl-vs-new-landmarks-on-new-instances,logistics,23-packages,gemini-thinking,random_new_landmark,1,3,4,1505.0,83.0,0.75,0.75
pddl-vs-new-landmarks-on-new-instances,logistics,25-packages,gemini-thinking,landmark,1,2,4,1769.0,95.0,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,logistics,25-packages,gemini-thinking,new_landmark,1,3,4,1932.75,95.0,0.75,0.75
pddl-vs-new-landmarks-on-new-instances,logistics,25-packages,gemini-thinking,pddl,1,1,4,2194.75,,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,logistics,25-packages,gemini-thinking,random_landmark,1,3,4,1732.5,95.0,0.75,0.75
pddl-vs-new-landmarks-on-new-instances,logistics,25-packages,gemini-thinking,random_new_landmark,1,1,4,1828.75,95.0,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,logistics,27-packages,gemini-thinking,landmark,1,1,4,1802.0,97.0,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,logistics,27-packages,gemini-thinking,new_landmark,1,2,4,1906.0,97.0,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,logistics,27-packages,gemini-thinking,pddl,1,0,4,1816.75,,0.0,0.0
pddl-vs-new-landmarks-on-new-instances,logistics,27-packages,gemini-thinking,random_landmark,1,2,4,1784.25,97.0,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,logistics,27-packages,gemini-thinking,random_new_landmark,1,2,4,1910.75,97.0,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,logistics,29-packages,gemini-thinking,landmark,1,1,4,2291.0,102.5,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,logistics,29-packages,gemini-thinking,new_landmark,1,1,4,1895.75,102.5,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,logistics,29-packages,gemini-thinking,pddl,1,1,4,2335.75,,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,logistics,29-packages,gemini-thinking,random_landmark,1,2,4,1809.5,102.5,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,logistics,29-packages,gemini-thinking,random_new_landmark,1,1,4,2086.5,102.5,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,landmark,1,1,4,2569.0,117.0,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,new_landmark,1,3,4,2327.25,117.0,0.75,0.75
pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,pddl,1,3,4,2404.75,,0.75,0.75
pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,random_landmark,1,1,4,2330.5,117.0,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,random_new_landmark,1,0,4,3485.0,117.0,0.0,0.0
pddl-vs-new-landmarks-on-new-instances,miconic,32-passenger,gemini-thinking,new_landmark,1,4,4,1438.75,64.0,1.0,1.0
pddl-vs-new-landmarks-on-new-instances,miconic,32-passenger,gemini-thinking,pddl,1,1,4,1840.0,,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,miconic,36-passenger,gemini-thinking,new_landmark,1,2,4,1676.75,72.0,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,miconic,36-passenger,gemini-thinking,pddl,1,2,4,6093.5,,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,miconic,40-passenger,gemini-thinking,new_landmark,1,1,4,2095.0,80.0,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,miconic,40-passenger,gemini-thinking,pddl,1,1,4,1745.0,,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,miconic,44-passenger,gemini-thinking,new_landmark,1,1,4,2086.25,88.0,0.25,0.25
pddl-vs-new-landmarks-on-new-instances,miconic,44-passenger,gemini-thinking,pddl,1,2,4,1956.75,,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,miconic,48-passenger,gemini-thinking,new_landmark,1,2,4,2224.25,96.0,0.5,0.5
pddl-vs-new-landmarks-on-new-instances,miconic,48-passenger,gemini-thinking,pddl,1,1,4,2237.5,,0.25,0.25
