template,domain,instance,sample_id,num_requests,prompt_token_count,candidates_token_count,total_tokens_count
new_landmark,logistics,p41,1,1,7909,3332,33934
new_landmark,logistics,p42,1,1,7555,1435,24666
new_landmark,logistics,p43,1,1,7673,1575,33542
new_landmark,logistics,p44,1,1,7615,1509,27261
new_landmark,logistics,p45,1,1,7853,2699,41803
new_landmark,logistics,p46,1,2,7971,1845,29984
new_landmark,logistics,p47,1,1,8005,1859,30533
new_landmark,logistics,p48,1,1,7881,1755,32322
new_landmark,logistics,p49,1,1,8245,1906,29682
new_landmark,logistics,p50,1,1,8071,3616,43772
new_landmark,logistics,p51,1,1,8157,2771,31822
new_landmark,logistics,p52,1,1,7629,1309,27351
new_landmark,logistics,p53,1,1,8099,1781,27048
new_landmark,logistics,p54,1,1,8311,2183,31387
new_landmark,logistics,p55,1,1,8305,2385,34384
new_landmark,logistics,p56,1,1,7959,1630,31020
new_landmark,logistics,p57,1,1,8521,2199,32201
new_landmark,logistics,p58,1,1,8437,3065,46652
new_landmark,logistics,p59,1,1,8431,2185,33007
new_landmark,logistics,p60,1,1,8407,2845,38968
new_landmark,blocksworld,p25,1,1,5923,573,22729
new_landmark,blocksworld,p26,1,1,5908,633,26103
new_landmark,blocksworld,p27,1,1,5921,576,15717
new_landmark,blocksworld,p28,1,1,5900,565,25669
new_landmark,blocksworld,p29,1,1,6109,764,37728
new_landmark,blocksworld,p30,1,1,6012,691,19618
new_landmark,blocksworld,p31,1,1,6060,707,26493
new_landmark,blocksworld,p32,1,1,6076,648,24594
new_landmark,blocksworld,p33,1,1,6210,802,32614
new_landmark,blocksworld,p34,1,1,6153,795,24803
new_landmark,blocksworld,p35,1,1,6168,752,25570
new_landmark,blocksworld,p36,1,1,6170,743,21612
new_landmark,blocksworld,p37,1,1,6327,854,34338
new_landmark,blocksworld,p38,1,1,6270,903,30235
new_landmark,blocksworld,p39,1,1,6334,877,19213
new_landmark,blocksworld,p40,1,1,6317,830,34631
new_landmark,blocksworld,p41,1,1,6468,967,44058
new_landmark,blocksworld,p42,1,1,6432,976,41813
new_landmark,blocksworld,p43,1,1,6474,987,32431
new_landmark,blocksworld,p44,1,1,6427,934,30177
new_landmark,miconic,p29,1,1,26482,1813,49616
new_landmark,miconic,p30,1,1,26480,1171,70499
new_landmark,miconic,p31,1,1,26482,1126,44904
new_landmark,miconic,p32,1,1,26492,1754,45634
new_landmark,miconic,p33,1,1,32035,1256,53955
new_landmark,miconic,p34,1,1,32023,2106,52558
new_landmark,miconic,p35,1,1,32031,2072,66952
new_landmark,miconic,p36,1,1,32029,2071,50521
new_landmark,miconic,p37,1,1,38209,2596,58984
new_landmark,miconic,p38,1,1,38217,2310,53930
new_landmark,miconic,p39,1,1,38213,1271,62718
new_landmark,miconic,p40,1,1,38215,1420,60104
new_landmark,miconic,p41,1,1,45039,1451,80005
new_landmark,miconic,p42,1,1,45053,1500,58454
new_landmark,miconic,p43,1,1,45045,2558,68632
new_landmark,miconic,p44,1,1,45041,2538,69094
new_landmark,miconic,p45,1,1,52520,2794,75624
new_landmark,miconic,p46,1,1,52518,1653,70469
new_landmark,miconic,p47,1,1,52516,2771,71055
new_landmark,miconic,p48,1,1,52520,2742,89498
pddl,logistics,p41,1,1,6046,1952,29574
pddl,logistics,p42,1,1,6046,2579,27306
pddl,logistics,p43,1,1,6046,2216,22487
pddl,logistics,p44,1,1,6046,1405,23775
pddl,logistics,p45,1,1,6110,2895,38010
pddl,logistics,p46,1,1,6110,1726,26494
pddl,logistics,p47,1,1,6110,1974,30695
pddl,logistics,p48,1,1,6110,2236,24438
pddl,logistics,p49,1,1,6174,2283,33833
pddl,logistics,p50,1,1,6174,1837,23142
pddl,logistics,p51,1,1,6174,1923,27443
pddl,logistics,p52,1,1,6174,1288,21019
pddl,logistics,p53,1,1,6238,2181,29742
pddl,logistics,p54,1,1,6238,2085,30234
pddl,logistics,p55,1,1,6238,2553,27793
pddl,logistics,p56,1,1,6238,1749,29939
pddl,logistics,p57,1,1,6302,2175,34396
pddl,logistics,p58,1,1,6302,4113,28304
pddl,logistics,p59,1,1,6302,2021,26658
pddl,logistics,p60,1,1,6302,2204,32926
pddl,blocksworld,p25,1,1,5167,545,21410
pddl,blocksworld,p26,1,1,5131,599,22789
pddl,blocksworld,p27,1,1,5153,507,25659
pddl,blocksworld,p28,1,1,5143,565,18414
pddl,blocksworld,p29,1,1,5251,677,22340
pddl,blocksworld,p30,1,1,5190,691,18790
pddl,blocksworld,p31,1,1,5212,667,18556
pddl,blocksworld,p32,1,1,5230,698,18118
pddl,blocksworld,p33,1,1,5303,768,18333
pddl,blocksworld,p34,1,1,5256,812,29572
pddl,blocksworld,p35,1,1,5285,736,34798
pddl,blocksworld,p36,1,1,5294,743,20149
pddl,blocksworld,p37,1,1,5371,890,30008
pddl,blocksworld,p38,1,1,5326,900,24085
pddl,blocksworld,p39,1,1,5364,877,29749
pddl,blocksworld,p40,1,1,5368,830,28036
pddl,blocksworld,p41,1,1,5439,967,20962
pddl,blocksworld,p42,1,1,5407,960,25857
pddl,blocksworld,p43,1,1,5433,970,29399
pddl,blocksworld,p44,1,1,5426,934,33705
pddl,miconic,p29,1,1,25439,1832,37425
pddl,miconic,p30,1,1,25438,1831,41592
pddl,miconic,p31,1,1,25439,1134,40260
pddl,miconic,p32,1,1,25444,1039,44047
pddl,miconic,p33,1,1,30910,1276,45573
pddl,miconic,p34,1,1,30904,2076,61516
pddl,miconic,p35,1,1,30908,1252,58469
pddl,miconic,p36,1,1,30907,1235,60318
pddl,miconic,p37,1,1,37011,1301,60448
pddl,miconic,p38,1,1,37015,1371,78073
pddl,miconic,p39,1,1,37013,2272,58760
pddl,miconic,p40,1,1,37014,2199,57835
pddl,miconic,p41,1,1,43761,2555,64590
pddl,miconic,p42,1,1,43768,1489,70400
pddl,miconic,p43,1,1,43764,1566,67796
pddl,miconic,p44,1,1,43762,1900,68797
pddl,miconic,p45,1,1,51156,2811,75952
pddl,miconic,p46,1,1,51155,1515,71694
pddl,miconic,p47,1,1,51154,3102,74290
pddl,miconic,p48,1,1,51156,2348,90761
