experiment,domain,instance_subdir,model,template,max_samples,correct_instances,total_instances,candidates_token_count,num_action_landmarks,accuracy,pass@1
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,22-blocks,gemini-thinking,new_landmark,1,3,4,586.75,35.25,0.75,0.75
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,22-blocks,gemini-thinking,pddl,1,3,4,554.0,,0.75,0.75
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,25-blocks,gemini-thinking,new_landmark,1,1,4,702.5,43.75,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,25-blocks,gemini-thinking,pddl,1,2,4,683.25,,0.5,0.5
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,28-blocks,gemini-thinking,new_landmark,1,3,4,773.0,47.75,0.75,0.75
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,28-blocks,gemini-thinking,pddl,1,2,4,764.75,,0.5,0.5
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,31-blocks,gemini-thinking,new_landmark,1,2,4,866.0,54.25,0.5,0.5
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,31-blocks,gemini-thinking,pddl,1,4,4,874.25,,1.0,1.0
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,34-blocks,gemini-thinking,new_landmark,1,2,4,966.0,61.25,0.5,0.5
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,34-blocks,gemini-thinking,pddl,1,1,4,957.75,,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,23-packages,gemini-thinking,new_landmark,1,4,4,1962.75,83.0,1.0,1.0
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,23-packages,gemini-thinking,pddl,1,2,4,2038.0,,0.5,0.5
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,25-packages,gemini-thinking,new_landmark,1,4,4,2039.5,95.0,1.0,1.0
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,25-packages,gemini-thinking,pddl,1,1,4,2207.75,,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,27-packages,gemini-thinking,new_landmark,1,1,4,2400.5,97.0,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,27-packages,gemini-thinking,pddl,1,0,4,1832.75,,0.0,0.0
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,29-packages,gemini-thinking,new_landmark,1,2,4,1994.75,102.5,0.5,0.5
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,29-packages,gemini-thinking,pddl,1,4,4,2142.0,,1.0,1.0
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,new_landmark,1,1,4,2573.5,117.0,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,31-packages,gemini-thinking,pddl,1,1,4,2628.25,,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,32-passenger,gemini-thinking,new_landmark,1,2,4,1466.0,64.0,0.5,0.5
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,32-passenger,gemini-thinking,pddl,1,1,4,1459.0,,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,36-passenger,gemini-thinking,new_landmark,1,2,4,1876.25,72.0,0.5,0.5
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,36-passenger,gemini-thinking,pddl,1,4,4,1459.75,,1.0,1.0
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,40-passenger,gemini-thinking,new_landmark,1,1,4,1899.25,80.0,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,40-passenger,gemini-thinking,pddl,1,1,4,1785.75,,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,44-passenger,gemini-thinking,new_landmark,1,3,4,2011.75,88.0,0.75,0.75
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,44-passenger,gemini-thinking,pddl,1,1,4,1877.5,,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,48-passenger,gemini-thinking,new_landmark,1,1,4,2490.0,96.0,0.25,0.25
running-again-pddl-vs-new-landmarks-on-new-instances,miconic,48-passenger,gemini-thinking,pddl,1,0,4,2444.0,,0.0,0.0
