experiment,domain,instance_subdir,model,template,max_samples,correct_instances,total_instances,candidates_token_count,num_action_landmarks,accuracy,pass@1
without sanity,blocksworld,13-blocks,gemini-thinking,landmark,1,4,4,283.25,19.25,1.0,1.0
without sanity,blocksworld,13-blocks,gemini-thinking,pddl,1,3,4,267.5,,0.75,0.75
without sanity,blocksworld,16-blocks,gemini-thinking,landmark,1,3,4,376.5,26.25,0.75,0.75
without sanity,blocksworld,16-blocks,gemini-thinking,pddl,1,4,4,394.25,,1.0,1.0
without sanity,blocksworld,19-blocks,gemini-thinking,landmark,1,3,4,500.5,31.25,0.75,0.75
without sanity,blocksworld,19-blocks,gemini-thinking,pddl,1,3,4,488.25,,0.75,0.75
without sanity,blocksworld,22-blocks,gemini-thinking,landmark,1,4,4,578.25,35.25,1.0,1.0
without sanity,blocksworld,22-blocks,gemini-thinking,pddl,1,3,4,582.6666666666666,,0.75,0.75
without sanity,blocksworld,25-blocks,gemini-thinking,landmark,1,4,4,671.0,43.75,1.0,1.0
without sanity,blocksworld,25-blocks,gemini-thinking,pddl,1,1,4,568.25,,0.25,0.25
without sanity,logistics,11-packages,gemini-thinking,landmark,1,4,4,754.0,37.0,1.0,1.0
without sanity,logistics,11-packages,gemini-thinking,pddl,1,3,4,823.75,,0.75,0.75
without sanity,logistics,13-packages,gemini-thinking,landmark,1,2,4,979.5,43.0,0.5,0.5
without sanity,logistics,13-packages,gemini-thinking,pddl,1,3,4,893.5,,0.75,0.75
without sanity,logistics,15-packages,gemini-thinking,landmark,1,2,4,1173.0,52.0,0.5,0.5
without sanity,logistics,15-packages,gemini-thinking,pddl,1,3,4,1311.0,,0.75,0.75
without sanity,logistics,17-packages,gemini-thinking,landmark,1,3,4,1203.5,62.5,0.75,0.75
without sanity,logistics,17-packages,gemini-thinking,pddl,1,4,4,1399.5,,1.0,1.0
without sanity,logistics,9-packages,gemini-thinking,landmark,1,4,4,626.0,28.5,1.0,1.0
without sanity,logistics,9-packages,gemini-thinking,pddl,1,4,4,689.5,,1.0,1.0
without sanity,miconic,12-passenger,gemini-thinking,landmark,1,4,4,501.5,24.0,1.0,1.0
without sanity,miconic,12-passenger,gemini-thinking,pddl,1,4,4,433.5,,1.0,1.0
without sanity,miconic,16-passenger,gemini-thinking,landmark,1,4,4,674.0,32.0,1.0,1.0
without sanity,miconic,16-passenger,gemini-thinking,pddl,1,2,4,662.75,,0.5,0.5
without sanity,miconic,20-passenger,gemini-thinking,landmark,1,4,4,771.0,40.0,1.0,1.0
without sanity,miconic,20-passenger,gemini-thinking,pddl,1,3,4,667.5,,0.75,0.75
without sanity,miconic,4-passenger,gemini-thinking,landmark,1,4,4,147.0,8.0,1.0,1.0
without sanity,miconic,4-passenger,gemini-thinking,pddl,1,3,4,131.0,,0.75,0.75
without sanity,miconic,8-passenger,gemini-thinking,landmark,1,4,4,264.75,16.0,1.0,1.0
without sanity,miconic,8-passenger,gemini-thinking,pddl,1,4,4,332.5,,1.0,1.0
without sanity,spanner,12-spanners,gemini-thinking,landmark,1,3,4,771.75,14.0,0.75,0.75
without sanity,spanner,12-spanners,gemini-thinking,pddl,1,2,4,1224.25,,0.5,0.5
without sanity,spanner,16-spanners,gemini-thinking,landmark,1,4,4,643.25,18.0,1.0,1.0
without sanity,spanner,16-spanners,gemini-thinking,pddl,1,1,4,1351.25,,0.25,0.25
without sanity,spanner,20-spanners,gemini-thinking,landmark,1,2,4,3164.5,22.0,0.5,0.5
without sanity,spanner,20-spanners,gemini-thinking,pddl,1,1,4,3978.25,,0.25,0.25
without sanity,spanner,4-spanners,gemini-thinking,landmark,1,3,4,192.5,6.0,0.75,0.75
without sanity,spanner,4-spanners,gemini-thinking,pddl,1,3,4,201.5,,0.75,0.75
without sanity,spanner,8-spanners,gemini-thinking,landmark,1,2,4,673.0,10.0,0.5,0.5
without sanity,spanner,8-spanners,gemini-thinking,pddl,1,2,4,610.0,,0.5,0.5
