domain,instance,steps
blocksworld,p01.pddl,12
blocksworld,p06.pddl,22
blocksworld,p03.pddl,12
blocksworld,p04.pddl,18
blocksworld,p09.pddl,22
blocksworld,p08.pddl,24
blocksworld,p10.pddl,24
blocksworld,p05.pddl,12
blocksworld,p07.pddl,16
blocksworld,p02.pddl,16
blocksworld,p17.pddl,28
blocksworld,p13.pddl,28
blocksworld,p20.pddl,32
blocksworld,p12.pddl,28
blocksworld,p11.pddl,20
blocksworld,p15.pddl,26
blocksworld,p19.pddl,28
blocksworld,p16.pddl,34
blocksworld,p18.pddl,34
blocksworld,p14.pddl,26
